15/11/2023,6546673,119729,1442,5,11757,6415187
16/11/2023,6547970,119733,1297,4,13003,6415234
17/11/2023,6549300,119736,1330,3,13245,6416319
18/11/2023,6550710,119744,1410,8,13620,6417346
19/11/2023,6550803,119744,93,0,13662,6417397
20/11/2023,6550880,119744,77,0,13689,6417447
21/11/2023,6553239,119752,2359,8,14399,6419088
22/11/2023,6555172,119753,1933,1,15148,6420271
23/11/2023,6556761,119792,1589,39,15530,6421439
24/11/2023,6558729,119800,1968,8,16489,6422440
25/11/2023,6560391,119808,1662,8,17154,6423429
