Date,Total cases,Total deaths,Daily cases,Daily deaths,Active cases (new),Active cases (old),Change,Total recoveries (old),Total recoveries (new)
30/3/2022,6452108,27913,41473,82,415942,415942,0,6008253,6008253
31/3/2022,6504873,28010,52765,97,428780,428780,0,6048083,6048083
1/4/2022,6552920,28097,48047,87,441767,441767,0,6083056,6083056
2/4/2022,6606464,28200,53544,103,455864,455864,0,6122400,6122400
3/4/2022,6653841,28248,47377,48,460801,460801,0,6164792,6164792
4/4/2022,6702086,28286,48245,38,470278,470278,0,6203522,6203522
5/4/2022,6735920,28327,33834,41,461766,461766,0,6245827,6245827
6/4/2022,6778235,28387,42315,60,463468,463468,0,6286380,6286380
7/4/2022,6832377,28456,54142,69,474904,474904,0,6329017,6329017
8/4/2022,6887421,28528,55044,72,489554,489554,0,6369339,6369339
9/4/2022,6939525,28590,52104,62,488736,488736,0,6422199,6422199
10/4/2022,6991687,28646,52162,56,494941,494941,0,6468100,6468100
11/4/2022,7039563,28684,47876,38,501281,501281,0,6509598,6509598
12/4/2022,7072699,28721,33136,37,497602,497602,0,6546376,6546376
13/4/2022,7124030,28765,51331,44,504156,504156,0,6591109,6591109
14/4/2022,7181768,28825,57738,60,510922,510922,0,6642021,6642021
15/4/2022,7237050,28884,55282,59,526013,526013,0,6682153,6682153
16/4/2022,7287343,28945,50293,61,520226,520226,0,6738172,6738172
17/4/2022,7334352,28992,47009,47,519782,519782,0,6785578,6785578
18/4/2022,7374251,29023,39899,31,515322,515322,0,6829906,6829906
19/4/2022,7402533,29049,28282,26,498469,498469,0,6875015,6875015
20/4/2022,7440164,29102,37631,53,490965,490965,0,6920097,6920097
21/4/2022,7487624,29151,47460,49,473178,473178,0,6985295,6985295
22/4/2022,7535033,29201,47409,50,478166,478166,0,7027666,7027666
23/4/2022,7577841,29257,42808,56,470494,470494,0,7078090,7078090
24/4/2022,7621562,29284,43721,27,456875,456875,0,7135403,7135403
25/4/2022,7660012,29308,38450,24,451956,451956,0,7178748,7178748
26/4/2022,7688507,29344,28495,36,435999,435999,0,7223164,7223164
27/4/2022,7725765,29402,37258,58,433004,433004,0,7263359,7263359
28/4/2022,7771536,29467,45771,65,422712,422712,0,7319357,7319357
29/4/2022,7813849,29506,42313,39,428054,428054,0,7356289,7356289
30/4/2022,7850252,29548,36403,42,418134,418134,0,7402570,7402570
1/5/2022,7876508,29567,26256,19,407838,407838,0,7439103,7439103
2/5/2022,7901933,29601,25425,34,392911,392911,0,7479421,7479421
3/5/2022,7925130,29631,23197,30,377658,377658,0,7517841,7517841
4/5/2022,7952192,29683,27062,52,371231,371231,0,7551278,7551278
5/5/2022,7978912,29708,26720,25,351616,351616,0,7597588,7597588
6/5/2022,8000280,29726,21368,18,340245,340245,0,7630309,7630309
7/5/2022,8023895,29761,23615,35,315292,315292,0,7678842,7678842
8/5/2022,8058591,29785,34696,24,311922,311922,0,7716884,7716884
9/5/2022,8099533,29813,40942,28,322044,322044,0,7747676,7747676
10/5/2022,8133197,29843,33664,30,319199,319199,0,7784155,7784155
11/5/2022,8172238,29894,39041,51,328288,328288,0,7814056,7814056
12/5/2022,8217978,29935,45740,41,323284,323284,0,7864759,7864759
13/5/2022,8260356,29974,42378,39,339445,339445,0,7890937,7890937
14/5/2022,8299584,30005,39228,31,344793,344793,0,7924786,7924786
15/5/2022,8338211,30039,38627,34,356585,356585,0,7951587,7951587
16/5/2022,8373056,30061,34845,22,363366,363366,0,7979629,7979629
17/5/2022,8399390,30089,26334,28,353843,353843,0,8015458,8015458
18/5/2022,8433124,30122,33734,33,351748,351748,0,8051254,8051254
19/5/2022,8474651,30175,41527,53,347651,347651,0,8096825,8096825
20/5/2022,8513463,30211,38812,36,352229,352229,0,8131023,8131023
21/5/2022,8552464,30255,39001,44,347788,347788,0,8174421,8174421
22/5/2022,8587421,30292,34957,37,346793,346793,0,8210336,8210336
23/5/2022,8618683,30307,31262,15,345113,345113,0,8243263,8243263
24/5/2022,8641599,30337,22916,30,332850,332850,0,8278412,8278412
25/5/2022,8671121,30369,29522,32,327293,327293,0,8313459,8313459
26/5/2022,8705990,30418,34869,49,321620,321620,0,8353952,8353952
27/5/2022,8737532,30458,31542,40,318746,318746,0,8388328,8388328
28/5/2022,8765867,30497,28335,39,304941,304941,0,8430429,8430429
29/5/2022,8790786,30536,24919,39,295371,295371,0,8464879,8464879
30/5/2022,8811614,30558,20828,22,284872,284872,0,8496184,8496184
31/5/2022,8830300,30582,18686,24,269318,269318,0,8530400,8530400
1/6/2022,8850282,30618,19982,36,257656,257656,0,8562008,8562008
2/6/2022,8872937,30653,22655,35,242113,242113,0,8600171,8600171
3/6/2022,8893475,30677,20538,24,236033,236033,0,8626765,8626765
4/6/2022,8913027,30712,19552,35,222617,222617,0,8659698,8659698
5/6/2022,8929654,30735,16627,23,211991,211991,0,8686928,8686928
6/6/2022,8945784,30752,16130,17,203743,203743,0,8711289,8711289
7/6/2022,8957135,30773,11351,21,190545,190545,0,8735817,8735817
8/6/2022,8972654,30797,15519,24,185009,185009,0,8756848,8756848
9/6/2022,8990929,30818,18275,21,178367,178367,0,8781744,8781744
10/6/2022,9008130,30844,17201,26,176979,176979,0,8800307,8800307
11/6/2022,9023920,30866,15790,22,168040,168040,0,8825014,8825014
12/6/2022,9038604,30879,14684,13,163363,163363,0,8844362,8844362
13/6/2022,9051732,30891,13128,12,160061,160061,0,8860780,8860780
14/6/2022,9061936,30910,10204,19,151676,151676,0,8879350,8879350
15/6/2022,9075966,30935,14030,25,148489,148489,0,8896542,8896542
16/6/2022,9092521,30963,16555,28,146490,146490,0,8915068,8915068
17/6/2022,9108323,30980,15802,17,147491,147491,0,8929852,8929852
18/6/2022,9123102,31003,14779,23,143557,143557,0,8948542,8948542
19/6/2022,9136849,31023,13747,20,141576,141576,0,8964250,8964250
20/6/2022,9149733,31032,12884,9,141337,141337,0,8977364,8977364
21/6/2022,9159940,31045,10207,13,136152,136152,0,8992743,8992743
22/6/2022,9173938,31057,13998,12,136480,136480,0,9006401,9006401
23/6/2022,9191098,31077,17160,20,137589,137589,0,9022432,9022432
24/6/2022,9207880,31091,16782,14,139437,139437,0,9037352,9037352
25/6/2022,9223944,31107,16064,16,141012,141012,0,9051825,9051825
26/6/2022,9239615,31116,15671,9,142642,142642,0,9065857,9065857
27/6/2022,9253386,31126,13771,10,144186,144186,0,9078074,9078074
28/6/2022,9265374,31139,11988,13,141524,141524,0,9092711,9092711
29/6/2022,9282652,31246,17278,107,144947,144947,0,9106459,9106459
30/6/2022,9305998,31266,23346,20,151720,151720,0,9123012,9123012
1/7/2022,9329520,31281,23522,15,162876,162876,0,9135363,9135363
2/7/2022,9352645,31297,23125,16,170328,170328,0,9151020,9151020
3/7/2022,9375972,31308,23327,11,178744,178744,0,9165920,9165920
4/7/2022,9398126,31316,22154,8,186990,186990,0,9179820,9179820
5/7/2022,9418900,31332,20774,16,192245,192245,0,9195323,9195323
6/7/2022,9451806,31348,32906,16,210297,210297,0,9210161,9210161
7/7/2022,9496651,31363,44845,15,236965,236965,0,9228323,9228323
8/7/2022,9544437,31377,47786,14,268505,268505,0,9244555,9244555
9/7/2022,9593994,31403,49557,26,296111,296111,0,9266480,9266480
10/7/2022,9645732,31416,51738,13,325819,325819,0,9288497,9288497
11/7/2022,9696650,31426,50918,10,356346,356346,0,9308878,9308878
12/7/2022,9742683,31445,46033,19,378272,378272,0,9332966,9332966
13/7/2022,9810874,31465,68191,20,420699,420699,0,9358710,9358710
14/7/2022,9903381,31494,92507,29,482056,482056,0,9389831,9389831
15/7/2022,10000720,31528,97339,34,546289,546289,0,9422903,9422903
16/7/2022,10100011,31559,99291,31,608200,608200,0,9460252,9460252
17/7/2022,10204843,31580,104832,21,671498,671498,0,9501765,9501765
18/7/2022,10308445,31594,103602,14,729599,729599,0,9547252,9547252
19/7/2022,10388078,31610,79633,16,762842,762842,0,9593626,9593626
20/7/2022,10469440,31643,81362,33,777865,777865,0,9659932,9659932
21/7/2022,10604679,31697,135239,54,840359,840359,0,9732623,9732623
22/7/2022,10785505,31735,180826,38,966698,966698,0,9787072,9787072
23/7/2022,10981802,31799,196297,64,1085567,1085567,0,9864436,9864436
24/7/2022,11173911,31852,192109,53,1184950,1184950,0,9957109,9957109
25/7/2022,11346584,31885,172673,33,1276289,1276289,0,10038410,10038410
26/7/2022,11500595,31940,154011,55,1333661,1333661,0,10134994,10134994
27/7/2022,11680821,32048,180226,108,1401040,1401040,0,10247733,10247733
28/7/2022,11888057,32170,207236,122,1475707,1475707,0,10380180,10380180
29/7/2022,12118112,32286,230055,116,1605434,1605434,0,10480392,10480392
30/7/2022,12340050,32416,221938,130,1718504,1718504,0,10589130,10589130
31/7/2022,12553010,32507,212960,91,1815840,1815840,0,10704663,10704663
1/8/2022,12749822,32585,196812,78,1828719,1828719,0,10888518,10888518
2/8/2022,12917500,32694,167678,109,1835092,1835092,0,11049714,11049714
3/8/2022,13113301,32819,195801,125,1862871,1862871,0,11217611,11217611
4/8/2022,13344898,32976,231597,157,1914003,1914003,0,11397919,11397919
5/8/2022,13598290,33159,253392,183,1978752,1978752,0,11586379,11586379
6/8/2022,13835099,33348,236809,189,2011983,2011983,0,11789768,11789768
7/8/2022,14049978,33509,214879,161,2030264,2030264,0,11986205,11986205
8/8/2022,14248541,33663,198563,154,2058726,2058726,0,12156152,12156152
9/8/2022,14421539,33825,172998,162,2038476,2038476,0,12349238,12349238
10/8/2022,14618271,34075,196732,250,2038809,2038809,0,12545387,12545387
11/8/2022,14861375,34323,243104,248,2026897,2026897,0,12800155,12800155
12/8/2022,15086304,34537,224929,214,2092606,2092606,0,12959161,12959161
13/8/2022,15278668,34763,192364,226,2037957,2037957,0,13205948,13205948
14/8/2022,15445279,35001,166611,238,2016166,2016166,0,13394112,13394112
15/8/2022,15615251,35156,169972,155,2018686,2018686,0,13561409,13561409
16/8/2022,15775032,35371,159781,215,1951849,1951849,0,13787812,13787812
17/8/2022,15953318,35655,178286,284,1906098,1906098,0,14011565,14011565
18/8/2022,16161801,35955,208483,300,1870049,1870049,0,14255797,14255797
19/8/2022,16423053,36234,261252,279,1943205,1943205,0,14443614,14443614
20/8/2022,16678863,36517,255810,283,1957081,1957081,0,14685265,14685265
21/8/2022,16921653,36780,242790,263,2009800,2009800,0,14875073,14875073
22/8/2022,17139528,37008,217875,228,2042764,2042764,0,15059756,15059756
23/8/2022,17325025,37277,185497,269,2032243,2032243,0,15255505,15255505
24/8/2022,17519248,37594,194223,317,2062665,2062665,0,15418989,15418989
25/8/2022,17756658,37887,237410,293,2045799,2045799,0,15672972,15672972
26/8/2022,17983797,38197,227139,310,2083694,2083694,0,15861906,15861906
27/8/2022,18180425,38522,196628,325,2066836,2066836,0,16075067,16075067
28/8/2022,18353290,38770,172865,248,2048351,2048351,0,16266169,16266169
29/8/2022,18506515,39005,153225,235,2011521,2011521,0,16455989,16455989
30/8/2022,18632422,39253,125907,248,1915005,1915005,0,16678164,16678164
31/8/2022,18772004,39564,139582,311,1856477,1856477,0,16875963,16875963
1/9/2022,18939344,39880,167340,316,1789298,1789298,0,17110166,17110166
2/9/2022,19092657,40198,153313,318,1759072,1759072,0,17293387,17293387
3/9/2022,19228082,40545,135425,347,1738940,1738940,0,17448597,17448597
4/9/2022,19345212,40829,117130,284,1684153,1684153,0,17620230,17620230
5/9/2022,19450222,41054,105010,225,1629634,1629634,0,17779534,17779534
6/9/2022,19534517,41293,84295,239,1552348,1552348,0,17940876,17940876
7/9/2022,19635246,41575,100729,282,1479654,1479654,0,18114017,18114017
8/9/2022,19769989,41840,134743,265,1427737,1427737,0,18300412,18300412
9/9/2022,19882393,42101,112404,261,1338991,1338991,0,18501301,18501301
10/9/2022,19982056,42313,99663,212,1165101,1165101,0,18774642,18774642
11/9/2022,20071967,42510,89911,197,1127887,1127887,0,18901570,18901570
12/9/2022,20156992,42637,85025,127,1090638,1090638,0,19023717,19023717
13/9/2022,20221686,42794,64694,157,1024930,1024930,0,19153962,19153962
14/9/2022,20300387,42985,78701,191,992294,992294,0,19265108,19265108
15/9/2022,20399933,43177,99546,192,941199,941199,0,19415557,19415557
16/9/2022,20488312,43347,88379,170,926698,926698,0,19518267,19518267
17/9/2022,20566116,43533,77804,186,887237,887237,0,19635346,19635346
18/9/2022,20635847,43672,69731,139,875208,875208,0,19716967,19716967
19/9/2022,20699467,43754,63620,82,867105,867105,0,19788608,19788608
20/9/2022,20740797,43827,41330,73,837389,837389,0,19859581,19859581
21/9/2022,20779307,43951,38510,124,790782,790782,0,19944574,19944574
22/9/2022,20840785,44071,61478,120,737537,737537,0,20059177,20059177
23/9/2022,20918843,44177,78058,106,746741,746741,0,20127925,20127925
24/9/2022,20982896,44262,64053,85,736153,736153,0,20202481,20202481
25/9/2022,21023814,44331,40918,69,718149,718149,0,20261334,20261334
26/9/2022,21067544,44375,43730,44,701258,701258,0,20321911,20321911
27/9/2022,21137064,44455,69520,80,712520,712520,0,20380089,20380089
28/9/2022,21187043,44551,49979,96,698731,762403,-63672,20380089,20443761
29/9/2022,21229216,44678,42173,127,663100,804449,-141349,20380089,20521438
30/9/2022,21265862,44789,36646,111,630015,839549,-209534,20381524,20591058
1/10/2022,21301280,44894,35418,105,601813,862493,-260680,20393893,20654573
2/10/2022,21330772,44965,29492,71,589975,887511,-297536,20398296,20695832
3/10/2022,21345939,45018,15167,53,566632,900010,-333378,20400911,20734289
4/10/2022,21385662,45083,39723,65,544877,935206,-390329,20405373,20795702
5/10/2022,21426855,45157,41193,74,508012,973758,-465746,20407940,20873686
6/10/2022,21460295,45248,33440,91,477399,1003076,-525677,20411971,20937648
7/10/2022,21489738,45321,29443,73,465924,1028358,-562434,20416059,20978493
8/10/2022,21516523,45404,26785,83,448979,1045182,-596203,20425937,21022140
9/10/2022,21539319,45461,22796,57,402255,1065203,-662948,20428655,21091603
10/10/2022,21551872,45511,12553,50,364829,1074832,-710003,20431529,21141532
11/10/2022,21564995,45561,13123,50,335779,1085438,-749659,20433996,21183655
12/10/2022,21610500,45615,45505,54,344638,1129427,-784789,20435458,21220247
13/10/2022,21656190,45693,45690,78,354910,1171280,-816370,20439217,21255587
14/10/2022,21692795,45756,36605,63,362023,1204531,-842508,20442508,21285016
15/10/2022,21727933,45823,35138,67,381994,1233112,-851118,20448998,21300116
16/10/2022,21757595,45870,29662,47,371933,1260499,-888566,20451226,21339792
17/10/2022,21772679,45890,15084,20,345824,1273473,-927649,20453316,21380965
18/10/2022,21814973,45946,42294,56,354678,1314133,-959455,20454894,21414349
19/10/2022,21858528,46014,43555,68,368790,1356698,-987908,20455816,21443724
20/10/2022,21894638,46085,36110,71,378115,1390935,-1012820,20457618,21470438
21/10/2022,21926231,46152,31593,67,386912,1418152,-1031240,20461927,21493167
22/10/2022,21960404,46230,34173,78,408532,1445503,-1036971,20468671,21505642
23/10/2022,21991277,46274,30873,44,426282,1473786,-1047504,20471217,21518721
24/10/2022,22008129,46309,16852,35,397629,1487817,-1090188,20474003,21564191
25/10/2022,22055832,46347,47703,38,399642,1533555,-1133913,20475930,21609843
26/10/2022,22106126,46414,50294,67,413331,1582236,-1168905,20477476,21646381
27/10/2022,22148863,46485,42737,71,420930,1620906,-1199976,20481472,21681448
28/10/2022,22188117,46536,39254,51,430522,1656930,-1226408,20484651,21711059
29/10/2022,22232640,46594,44523,58,459961,1693898,-1233937,20492148,21726085
30/10/2022,22273251,46636,40611,42,458278,1732045,-1273767,20494570,21768337
31/10/2022,22295592,46659,22341,23,437064,1751566,-1314502,20497367,21811869
1/11/2022,22362444,46711,66852,52,467806,1816276,-1348470,20499457,21847927
2/11/2022,22432840,46781,70396,70,506609,1884918,-1378309,20501141,21879450
3/11/2022,22500313,46850,67473,69,539909,1947715,-1407806,20505748,21913554
4/11/2022,22534377,46909,34064,59,543100,1977726,-1434626,20509742,21944368
5/11/2022,22608547,46981,74170,72,600418,2044182,-1443764,20517384,21961148
6/11/2022,22674944,47027,66397,46,619112,2107223,-1488111,20520694,22008805
7/11/2022,22708849,47069,33905,42,602723,2136925,-1534202,20524855,22059057
8/11/2022,22790250,47139,81401,70,641387,2215002,-1573615,20528109,22101724
9/11/2022,22877660,47236,87410,97,689543,2299767,-1610224,20530657,22140881
10/11/2022,22956237,47336,78577,100,723597,2370825,-1647228,20538076,22185304
11/11/2022,23030330,47417,74093,81,757079,2438160,-1681081,20544753,22225834
12/11/2022,23109816,47512,79486,95,814224,2507004,-1692780,20555300,22248080
13/11/2022,23178710,47579,68894,67,816266,2572489,-1756223,20558642,22314865
14/11/2022,23216265,47627,37555,48,783425,2601698,-1818273,20566940,22385213
15/11/2022,23319610,47715,103345,88,819297,2699656,-1880359,20572239,22452598
16/11/2022,23426796,47826,107186,111,892419,2803127,-1910708,20575843,22486551
17/11/2022,23519801,47959,93005,133,911254,2886429,-1975175,20585413,22560588
18/11/2022,23604176,48058,84375,99,929232,2962560,-2033328,20593558,22626886
19/11/2022,23694063,48159,89887,101,985214,3038941,-2053727,20606963,22660690
20/11/2022,23771785,48281,77722,122,981535,3109752,-2128217,20613752,22741969
21/11/2022,23813985,48338,42200,57,936325,3144180,-2207855,20621467,22829322
22/11/2022,23935445,48482,121460,144,979208,3259906,-2280698,20627057,22907755
23/11/2022,24068806,48642,133361,160,1038476,3388515,-2350039,20631649,22981688
24/11/2022,24128914,48772,60108,130,1019098,3436543,-2417445,20643599,23061044
25/11/2022,24246754,48872,117840,100,1068044,3543875,-2475831,20654007,23129838
26/11/2022,24372081,49036,125327,164,1155816,3652075,-2496259,20670970,23167229
27/11/2022,24470557,49178,98476,142,1150947,3742145,-2591198,20679234,23270432
28/11/2022,24527348,49281,56791,103,1100552,3789809,-2689257,20688258,23377515
29/11/2022,24654770,49434,127422,153,1134969,3910672,-2775703,20694664,23470367
30/11/2022,24793166,49644,138396,210,1188990,4043985,-2854995,20699537,23554532
1/12/2022,24911367,49826,118201,182,1217304,4147678,-2930374,20713863,23644237
2/12/2022,25021295,50013,109928,187,1249510,4245340,-2995830,20725942,23721772
3/12/2022,25130886,50193,109591,180,1316901,4339052,-3022151,20741641,23763792
4/12/2022,25220452,50344,89566,151,1285007,4415858,-3130851,20754250,23885101
5/12/2022,25268157,50461,47705,117,1199351,4450925,-3251574,20766771,24018345
6/12/2022,25405350,50608,137193,147,1276436,4579781,-3303345,20774961,24078306
7/12/2022,25554733,50819,149383,211,1307979,4724141,-3416162,20779773,24195935
8/12/2022,25687798,51062,133065,243,1315717,4842555,-3526838,20794181,24321019
9/12/2022,25814888,51290,127090,228,1344331,4956629,-3612298,20806969,24419267
10/12/2022,25950649,51512,135761,222,1423301,5070414,-3647113,20828723,24475836
11/12/2022,26069823,51702,119174,190,1415053,5179342,-3764289,20838779,24603068
12/12/2022,26133192,51829,63369,127,1340026,5232990,-3892964,20848373,24741337
13/12/2022,26309153,52043,175961,214,1397786,5401942,-4004156,20855168,24859324
14/12/2022,26499760,52287,190607,244,1478465,5587013,-4108548,20860460,24969008
15/12/2022,26668251,52564,168491,277,1537365,5740747,-4203382,20874940,25078322
16/12/2022,26821853,52823,153602,259,1601401,5880980,-4279579,20888050,25167629
17/12/2022,26980236,53087,158383,264,1712079,6016244,-4304165,20910905,25215070
18/12/2022,27116473,53319,136237,232,1711123,6141259,-4430136,20921895,25352031
19/12/2022,27188770,53499,72297,180,1634037,6201401,-4567364,20933870,25501234
20/12/2022,27374464,53730,185694,231,1686666,6378050,-4691384,20942684,25634068
21/12/2022,27581407,54026,206943,296,1766519,6578707,-4812188,20948674,25760862
22/12/2022,27765782,54365,184375,339,1815133,6744579,-4929446,20966838,25896284
23/12/2022,27939118,54680,173336,315,1869295,6901758,-5032463,20982680,26015143
24/12/2022,28116740,55019,177622,339,1983548,7050485,-5066937,21011236,26078173
25/12/2022,28266405,55325,149665,306,1957252,7186939,-5229687,21024141,26253828
26/12/2022,28345151,55542,78746,217,1845391,7251963,-5406572,21037646,26444218
27/12/2022,28548004,55813,202853,271,1879753,7444464,-5564711,21047727,26612438
28/12/2022,28764223,56228,216219,415,1942370,7654018,-5711648,21053977,26765625
29/12/2022,28956286,56648,192063,420,1976050,7826244,-5850194,21073394,26923588
30/12/2022,29105070,56974,148784,326,1988597,7957453,-5968856,21090643,27059499
31/12/2022,29212535,57266,107465,292,2023765,8049515,-6025750,21105754,27131504
1/1/2023,29299459,57513,86924,247,1924995,8121635,-6196640,21120311,27316951
2/1/2023,29377984,57721,78525,208,1796577,8184398,-6387821,21135865,27523686
3/1/2023,29467627,57944,89643,223,1701845,8244223,-6542378,21165460,27707838
4/1/2023,29571931,58162,104304,218,1632813,8342265,-6709452,21171504,27880956
5/1/2023,29798835,58496,226904,334,1682095,8548746,-6866651,21191593,28058244
6/1/2023,30044377,58952,245542,456,1777972,8775479,-6997507,21209946,28207453
7/1/2023,30283031,59415,238654,463,1937880,8976648,-7038768,21246968,28285736
8/1/2023,30473569,59822,190538,407,1925565,9156060,-7230495,21257687,28488182
9/1/2023,30572355,60158,98786,336,1808132,9246965,-7438833,21265232,28704065
10/1/2023,30647859,60411,75504,253,1691573,9315616,-7624043,21271832,28895875
11/1/2023,30846732,60792,198873,381,1741662,9507525,-7765863,21278415,29044278
12/1/2023,31032204,61281,185472,489,1819669,9684591,-7864922,21286332,29151254
13/1/2023,31176281,61761,144077,480,1876822,9817885,-7941063,21296635,29237698
14/1/2023,31308352,62264,132071,503,1930368,9915802,-7985434,21330286,29315720
15/1/2023,31416633,62679,108281,415,1949006,10003394,-8054388,21350560,29404948
16/1/2023,31470821,62963,54188,284,1898890,10037463,-8138573,21370395,29508968
17/1/2023,31597810,63320,126989,357,1798975,10150567,-8351592,21383923,29735515
18/1/2023,31722918,63769,125108,449,1678541,10268918,-8590377,21390231,29980608
19/1/2023,31819310,64220,96392,451,1536279,10358486,-8822207,21396604,30218811
20/1/2023,31901924,64645,82614,425,1428355,10420816,-8992461,21416463,30408924
21/1/2023,31980878,65043,78954,398,1408523,10457528,-9049005,21458307,30507312
22/1/2023,32045328,65369,64450,326,1397469,10510382,-9112913,21469577,30582490
23/1/2023,32090165,65622,44837,253,1243433,10543672,-9300239,21480871,30781110
24/1/2023,32171700,65929,81535,307,1139496,10616553,-9477057,21489218,30966275
25/1/2023,32251054,66297,79354,368,1074773,10691003,-9616230,21493754,31109984
26/1/2023,32310939,66707,59885,410,1002587,10736678,-9734091,21507554,31241645
27/1/2023,32364850,67050,53911,343,948217,10779419,-9831202,21518381,31349583
28/1/2023,32419632,67388,54782,338,948811,10807377,-9858566,21544867,31403433
29/1/2023,32464361,67639,44729,251,866551,10844467,-9977916,21552255,31530171
30/1/2023,32475641,67845,11280,206,752723,10848449,-10095726,21559347,31655073
31/1/2023,32532905,68091,57264,246,713595,10900184,-10186589,21564630,31751219
1/2/2023,32588442,68399,55537,308,686518,10952618,-10266100,21567425,31833525
2/2/2023,32633741,68796,45299,397,652863,10988554,-10335691,21576391,31912082
3/2/2023,32673665,69033,39924,237,628337,11021555,-10393218,21583077,31976295
4/2/2023,32712246,69289,38581,256,622081,11043953,-10421872,21599004,32020876
5/2/2023,32744705,69477,32459,188,573005,11071432,-10498427,21603796,32102223
6/2/2023,32763634,69601,18929,124,512580,11085318,-10572738,21608715,32181453
7/2/2023,32805072,69762,41438,161,494133,11123238,-10629105,21612072,32241177
8/2/2023,32846656,69962,41584,200,481806,11162792,-10680986,21613902,32294888
9/2/2023,32879625,70185,32969,223,459993,11189392,-10729399,21620048,32349447
10/2/2023,32908240,70377,28615,192,443879,11212982,-10769103,21624881,32393984
11/2/2023,32935611,70558,27371,181,459970,11229516,-10769546,21635537,32405083
12/2/2023,32949351,70695,13740,137,416446,11239750,-10823304,21638906,32462210
13/2/2023,32959141,70788,9790,93,370699,11245883,-10875184,21642470,32517654
14/2/2023,32990844,70923,31703,135,357103,11274953,-10917850,21644968,32562818
15/2/2023,33019616,71136,28772,213,345951,11302066,-10956115,21646414,32602529
16/2/2023,33040963,71308,21347,172,328717,11318804,-10990087,21650851,32640938
17/2/2023,33059569,71449,18606,141,314864,11333615,-11018751,21654505,32673256
18/2/2023,33076693,71579,17124,130,313059,11342341,-11029282,21662773,32692055
19/2/2023,33090932,71686,14239,107,285860,11353937,-11068077,21665309,32733386
20/2/2023,33098160,71737,7228,51,251504,11358768,-11107264,21667655,32774919
21/2/2023,33117362,71809,19202,72,237737,11376925,-11139188,21668628,32807816
22/2/2023,33136016,71923,18654,114,227776,11394204,-11166428,21669889,32836317
23/2/2023,33151209,72051,15193,128,215598,11406002,-11190404,21673156,32863560
24/2/2023,33157721,72134,6512,83,208370,11409957,-11201587,21675630,32877217
25/2/2023,33172567,72206,14846,72,213426,11419557,-11206131,21680804,32886935
26/2/2023,33184966,72268,12399,62,194122,11430329,-11236207,21682369,32918576
27/2/2023,33190564,72320,5598,52,170948,11434340,-11263392,21683904,32947296
28/2/2023,33205088,72387,14524,67,164125,11447746,-11283621,21684955,32968576
1/3/2023,33219038,72486,13950,99,159469,11460835,-11301366,21685717,32987083
2/3/2023,33230544,72573,11506,87,153851,11470201,-11316350,21687770,33004120
3/3/2023,33241066,72640,10522,67,150134,11479118,-11328984,21689308,33018292
4/3/2023,33251497,72721,10431,81,153337,11486081,-11332744,21692695,33025439
5/3/2023,33260228,72771,8731,50,142866,11494122,-11351256,21693335,33044591
6/3/2023,33264643,72805,4415,34,128627,11496952,-11368325,21694886,33063211
7/3/2023,33276657,72840,12014,35,125448,11508103,-11382655,21695714,33078369
8/3/2023,33288462,72909,11805,69,130741,11519301,-11388560,21696252,33084812
9/3/2023,33298296,72989,9834,80,125729,11527564,-11401835,21697743,33099578
10/3/2023,33307409,73038,9113,49,122443,11535365,-11412922,21699006,33111928
11/3/2023,33316509,73156,9100,118,125945,11541774,-11415829,21701579,33117408
12/3/2023,33323522,73199,7013,43,118434,11547797,-11429363,21702526,33131889
13/3/2023,33326966,73226,3444,27,107928,11550219,-11442291,21703521,33145812
14/3/2023,33336977,73273,10011,47,106433,11559503,-11453070,21704201,33157271
15/3/2023,33346529,73334,9552,61,105463,11568452,-11462989,21704743,33167732
16/3/2023,33354244,73391,7715,57,102747,11574841,-11472094,21706012,33178106
17/3/2023,33361299,73439,7055,48,101071,11580928,-11479857,21706932,33186789
18/3/2023,33368365,73477,7066,38,103722,11586034,-11482312,21708854,33191166
19/3/2023,33374303,73511,5938,34,97646,11591208,-11493562,21709584,33203146
20/3/2023,33376908,73533,2605,22,88446,11592948,-11504502,21710427,33214929
21/3/2023,33385591,73562,8683,29,87295,11600999,-11513704,21711030,33224734
22/3/2023,33390051,73592,4460,30,82642,11605039,-11522397,21711420,33233817
23/3/2023,33398536,73632,8485,40,82027,11612458,-11530431,21712446,33242877
24/3/2023,33407175,73681,8639,49,83653,11620193,-11536540,21713301,33249841
25/3/2023,33415461,73725,8286,44,88495,11626855,-11538360,21714881,33253241
26/3/2023,33421785,73747,6324,22,84808,11632557,-11547749,21715481,33263230
27/3/2023,33425072,73764,3287,17,78543,11635141,-11556598,21716167,33272765
28/3/2023,33433117,73791,8045,27,78873,11642653,-11563780,21716673,33280453
29/3/2023,33441444,73825,8327,34,80145,11650580,-11570435,21717039,33287474
30/3/2023,33448651,73865,7207,40,80286,11656875,-11576589,21717911,33294500
31/3/2023,33455381,73908,6730,43,81078,11663096,-11582018,21718377,33300395
1/4/2023,33462859,73939,7478,31,85951,11669074,-11583123,21719846,33302969
2/4/2023,33469149,73953,6290,14,83558,11674576,-11591018,21720620,33311638
3/4/2023,33472574,73967,3425,14,82523,11677260,-11594737,21721347,33316084
4/4/2023,33481980,73981,9406,14,83444,11686257,-11602813,21721742,33324555
5/4/2023,33491480,74002,9500,21,84305,11695408,-11611103,21722070,33333173
